id,name,type,base,power,rarity,class,scope0,type0,stat0,value0,scope1,type1,stat1,value1,dmg0,dstype0,dtype0,blast0,dmg1,dstype1,dtype1,blast1,procdmg,procstype,proctype,procblast,burst,rpm,clip,reload,range,crit,description,buff,bscope0,btype0,bstat0,bvalue0,bscope1,btype1,bstat1,bvalue1,special
46,Unending Battle (61),Mch Pistol,Fulcrum,61,Masterwork,universal,,,,,,,,,132,Physical,Kinetic,,,,,,,,,,,1000,40,,15,1.5,Upgraded Fulcrum: High rate of fire and decent striking power. ,Striker's Savagery,jav,Weap,Damage,135,jav,Melee,Damage,135,Striker's Savagery: Hitting an enemy at point-blank range increases weapon and melee damage by 135% for 5 seconds
47,Unending Battle (75),Mch Pistol,Fulcrum,75,Legendary,universal,,,,,,,,,187,Physical,Kinetic,,,,,,,,,,,1000,40,,15,1.5,Upgraded Fulcrum: High rate of fire and decent striking power. ,Striker's Savagery,jav,Weap,Damage,135,jav,Melee,Damage,135,Striker's Savagery: Hitting an enemy at point-blank range increases weapon and melee damage by 135% for 5 seconds
48,Hailstorm (38),Mch Pistol,Hailstorm,38,Epic,universal,,,,,,,,,78,Physical,Kinetic,,,,,,,,,,,1200,50,,15,1.5,Greatest rate of fire and least accurate of all machine pistols.,,,,,,,,,,
49,Vassa's Surprise (61),Mch Pistol,Hailstorm,61,Masterwork,universal,,,,,,,,,223,Physical,Kinetic,,,,,,,,,,,1200,50,,15,1.5,"Upgraded Hailstorm: The least accurate machine pistol, but also the fastest. ",,,,,,,,,,"On a melee hit, gain 100% ammo in the magazine."
50,Vassa's Surprise (75),Mch Pistol,Hailstorm,75,Legendary,universal,,,,,,,,,316,Physical,Kinetic,,,,,,,,,,,1200,50,,15,1.5,"Upgraded Hailstorm: The least accurate machine pistol, but also the fastest. ",,,,,,,,,,"On a melee hit, gain 100% ammo in the magazine."
51,Trajector (38),Mch Pistol,Trajector,38,Epic,universal,,,,,,,,,161,Physical,Kinetic,,,,,,,,,,,700,25,,25,1.75,"Greater range, but slightly lower rate of fire than the Fulcrum.",,,,,,,,,,
52,Retaliation of Garretus (61),Mch Pistol,Trajector,61,Masterwork,universal,,,,,,,,,213,Physical,Kinetic,,,,,,,,,,,700,25,,25,1.75,Upgraded Trajector: Longer range with lower rate of fire. ,Gambler's Wrath,gear,Weap,Damage,400,,,,,"Gambler's Wrath: When suit health declines, weapon damage increases by 400% for 10 seconds."
53,Retaliation of Garretus (75),Mch Pistol,Trajector,75,Legendary,universal,,,,,,,,,301,Physical,Kinetic,,,,,,,,,,,700,25,,25,1.75,Upgraded Trajector: Longer range with lower rate of fire. ,Gambler's Wrath,gear,Weap,Damage,400,,,,,"Gambler's Wrath: When suit health declines, weapon damage increases by 400% for 10 seconds."
54,Anvil (38),Mks Rifle,Anvil,38,Epic,universal,,,,,,,,,687,Physical,Kinetic,,,,,,,,,,,180,12,,45,2.31,Hits hard with an impressive rate of fire.,,,,,,,,,,
55,Soothing Touch (61),Mks Rifle,Anvil,61,Masterwork,universal,,,,,,,,,1543,Physical,Kinetic,,,,,,,,,,,180,12,,45,2.31,"Upgraded Anvil: Hits hard, with a slight kickback. ",Striker's Balance,gear,Weap,Recoil Aim,-90,,,,,Striker's Balance: Hits reduce recoil by -30%. Stacks to 3 for 10 seconds.
56,Soothing Touch (75),Mks Rifle,Anvil,75,Legendary,universal,,,,,,,,,2182,Physical,Kinetic,,,,,,,,,,,180,12,,45,2.31,"Upgraded Anvil: Hits hard, with a slight kickback. ",Striker's Balance,gear,Weap,Recoil Aim,-90,,,,,Striker's Balance: Hits reduce recoil by -30%. Stacks to 3 for 10 seconds.
57,Guardian (38),Mks Rifle,Guardian,38,Epic,universal,,,,,,,,,376,Physical,Kinetic,,,,,,,,,,3,700,24,,35,2.31,Delivers a powerful three-shot burst.,,,,,,,,,,
58,Death From Above (61),Mks Rifle,Guardian,61,Masterwork,universal,,,,,,,,,497,Physical,Kinetic,,,,,,,,,,3,700,24,,35,2.31,Upgraded Guardian: Delivers a powerful three-shot burst. ,Raptor's Sense,gear,Critical,Damage,235,,,,,"Raptor's Sense: While hovering, increases weak point damage by 235.00%."
59,Death From Above (75),Mks Rifle,Guardian,75,Legendary,universal,,,,,,,,,703,Physical,Kinetic,,,,,,,,,,3,700,24,,35,2.31,Upgraded Guardian: Delivers a powerful three-shot burst. ,Raptor's Sense,gear,Critical,Damage,235,,,,,"Raptor's Sense: While hovering, increases weak point damage by 235.00%."
60,Scout (38),Mks Rifle,Scout,38,Epic,universal,,,,,,,,,412,Physical,Kinetic,,,,,,,,,,,240,16,,45,2.31,Forceful striking power from an advantageous distance.,,,,,,,,,,
61,Thunderbolt of Yvenia (61),Mks Rifle,Scout,61,Masterwork,universal,,,,,,,,,544,Physical,Kinetic,,,,,,125,Elemental,Elec,,,240,16,,45,2.31,Upgraded Scout: Basic semi-automatic rifle. ,,,,,,,,,,Has a 33% chance to deal large electric damage.
62,Thunderbolt of Yvenia (75),Mks Rifle,Scout,75,Legendary,universal,,,,,,,,,770,Physical,Kinetic,,,,,,125,Elemental,Elec,,,240,16,,45,2.31,Upgraded Scout: Basic semi-automatic rifle. ,,,,,,,,,,Has a 33% chance to deal large electric damage.
63,Constrictor (38),Shotgun,Constrictor,38,Epic,universal,,,,,,,,,200,Physical,Kinetic,,,,,,,,,,10,75,8,,25,1.5,"Hold down trigger and sight focus more sharply, increasing accuracy.",,,,,,,,,,
64,Radiant Fortress (61),Shotgun,Constrictor,61,Masterwork,universal,,,,,,,,,264,Physical,Kinetic,,,,,,,,,,10,75,8,,25,1.5,Upgraded Constrictor: Holding the trigger focuses the sight. ,,,,,,,,,,Hitting (8) shots in a single burst recharges shields by 35%.
65,Radiant Fortress (75),Shotgun,Constrictor,75,Legendary,universal,,,,,,,,,373,Physical,Kinetic,,,,,,,,,,10,75,8,,25,1.5,Upgraded Constrictor: Holding the trigger focuses the sight. ,,,,,,,,,,Hitting (8) shots in a single burst recharges shields by 35%.
66,Scattershot (38),Shotgun,Scattershot,38,Epic,universal,,,,,,,,,1870,Physical,Kinetic,,,,,,,,,,,75,10,,15,1.5,Knockdown power with a moderate amount of ammunition.,,,,,,,,,,
67,Papa Pump (61),Shotgun,Scattershot,61,Masterwork,universal,,,,,,,,,2470,Physical,Kinetic,,,,,,,,,,,75,10,,15,1.5,Upgraded Scattershot: Standard-issue lancer shotgun. ,After Reload,gear,Damage,(blank),200,gear,Force,(blank),200,Reloading increases force and delivers bonus damage of 100% for 15 seconds. Stacks to 2
68,Papa Pump (75),Shotgun,Scattershot,75,Legendary,universal,,,,,,,,,3500,Physical,Kinetic,,,,,,,,,,,75,10,,15,1.5,Upgraded Scattershot: Standard-issue lancer shotgun. ,After Reload,gear,Damage,(blank),200,gear,Force,(blank),200,Reloading increases force and delivers bonus damage of 100% for 15 seconds. Stacks to 2
69,Vengeance (38),Shotgun,Vengeance,38,Epic,universal,,,,,,,,,2900,Physical,Kinetic,,,,,,,,,,2,500,6,,15,1.5,Highest rate of fire in the shotgun class. Two shell bursts amplify power.,,,,,,,,,,
70,Rolling Carnage (61),Shotgun,Vengeance,61,Masterwork,universal,,,,,,,,,3840,Physical,Kinetic,,,,,,,,,,2,500,6,,15,1.5,Upgraded Vengeance: Two-shell bursts hit hard. ,Scout's Advantage,gear,Weap,Damage,250,,,,,Scout's Advantage: Dashing increases this weapon's damage by 83.3% for 20 seconds. Stacks to 3.
71,Rolling Carnage (75),Shotgun,Vengeance,75,Legendary,universal,,,,,,,,,5440,Physical,Kinetic,,,,,,,,,,2,500,6,,15,1.5,Upgraded Vengeance: Two-shell bursts hit hard. ,Scout's Advantage,gear,Weap,Damage,250,,,,,Scout's Advantage: Dashing increases this weapon's damage by 83.3% for 20 seconds. Stacks to 3.
72,Deadeye (38),Sniper,Deadeye,38,Epic,universal,,,,,,,,,2715,Physical,Kinetic,,,,,,,,,,,45,5,,60,3.25,Accurate targeting from a long distance.,,,,,,,,,,
73,Wyvern Blitz (61),Sniper,Deadeye,61,Masterwork,universal,,,,,,,,,3582,Physical,Kinetic,,,,,,,,,,,45,5,,60,3.25,"Upgraded Deadeye: Solid, balanced long-range rifle. ",Raptor's Sense,gear,Critical,Damage,185,,,,,Raptor's Sense: Hovering while firing increases weapon weak point damage by 185%.
74,Wyvern Blitz (75),Sniper,Deadeye,75,Legendary,universal,,,,,,,,,5066,Physical,Kinetic,,,,,,,,,,,45,5,,60,3.25,"Upgraded Deadeye: Solid, balanced long-range rifle. ",Raptor's Sense,gear,Critical,Damage,185,,,,,Raptor's Sense: Hovering while firing increases weapon weak point damage by 185%.
75,Devastator (38),Sniper,Devastator,38,Epic,universal,,,,,,,,,1818,Physical,Kinetic,,5456,Physical,Kinetic,blast,,,,,,45,1,,60,3.25,Ammunition explodes on contact with target—limited ammo.,,,,,,,,,,
76,Truth Of Tarsis (61),Sniper,Devastator,61,Masterwork,universal,,,,,,,,,2399,Physical,Kinetic,,7199,Physical,Kinetic,blast,,,,,,45,1,,60,3.25,Upgraded Devastator: Ammunition explodes on contact. ,,,,,,,,,,Hitting weak points on enemies under a status effect will set off a chain combo.
77,Truth Of Tarsis (75),Sniper,Devastator,75,Legendary,universal,,,,,,,,,3393,Physical,Kinetic,,10181,Physical,Kinetic,blast,,,,,,45,1,,60,3.25,Upgraded Devastator: Ammunition explodes on contact. ,,,,,,,,,,Hitting weak points on enemies under a status effect will set off a chain combo.
78,Whirlwind (38),Sniper,Whirlwind,38,Epic,universal,,,,,,,,,825,Physical,Kinetic,,,,,,,,,,,300,12,,45,2.31,Hybrid between sniper and assault rifle.,,,,,,,,,,
79,Siege Breaker (61),Sniper,Whirlwind,61,Masterwork,universal,,,,,,,,,1089,Physical,Kinetic,,,,,,,,,,,300,12,,45,2.31,Upgraded Whirlwind: Combination of assault and sniper rifles.,,,,,,,,,,"On a hit-streak (3), shots freeze the target."
80,Siege Breaker (75),Sniper,Whirlwind,75,Legendary,universal,,,,,,,,,1541,Physical,Kinetic,,,,,,,,,,,300,12,,45,2.31,Upgraded Whirlwind: Combination of assault and sniper rifles.,,,,,,,,,,"On a hit-streak (3), shots freeze the target."
